Position,Team,Points,xG+/-xG differential
1,Chelsea,87,68.64-4.36
2,Manchester City,79,75.82-7.18
3,Arsenal,75,69.80-1.20
4,Manchester United,70,54.21-7.79
5,Tottenham,64,52.39-5.61
6,Liverpool,62,51.70-0.30
7,Southampton,60,54.97+0.97
8,Swansea,56,40.90-5.10
9,Stoke,54,46.26-1.74
10,Crystal Palace,48,44.76-2.24
11,Everton,47,44.89-3.11
12,West Ham,47,46.69+2.69
13,West Bromwich Albion,44,38.63+0.63
14,Leicester,41,48.21+2.21
15,Newcastle United,39,40.22+0.22
16,Sunderland,38,37.45+6.45
17,Aston Villa,38,33.10+2.10
18,Hull,35,32.79-0.21
19,Burnley,33,39.37+11.37
20,Queens Park Rangers,30,45.73+3.73
1,Leicester,81,68.42+0.42
2,Arsenal,71,73.53+8.53
3,Tottenham,70,63.42-5.58
4,Manchester City,66,66.20-4.80
5,Manchester United,66,45.42-3.58
6,Southampton,63,56.20-2.80
7,West Ham,62,54.40-10.60
8,Liverpool,60,54.37-8.63
9,Stoke,51,42.63+1.63
10,Chelsea,50,54.48-4.52
11,Everton,47,53.98-5.02
12,Swansea,47,39.96-2.04
13,Watford,45,43.20+3.20
14,West Bromwich Albion,43,39.75+5.75
15,Crystal Palace,42,42.51+3.51
16,Bournemouth,42,38.71-6.29
17,Sunderland,39,40.52-7.48
18,Newcastle United,37,37.61-6.39
19,Norwich,34,39.19+0.19
20,Aston Villa,17,26.53-0.47
1,Chelsea,93,61.80-23.20
2,Tottenham,86,70.07-15.93
3,Manchester City,78,79.85-0.15
4,Liverpool,76,66.63-11.37
5,Arsenal,75,63.58-13.42
6,Manchester United,69,57.57+3.57
7,Everton,61,49.63-12.37
8,Southampton,46,49.98+8.98
9,Bournemouth,46,50.02-4.98
10,West Bromwich Albion,45,38.21-4.79
11,West Ham,45,48.25+1.25
12,Leicester,44,44.34-3.66
13,Stoke,44,47.87+6.87
14,Crystal Palace,41,45.40-4.60
15,Swansea,41,39.50-5.50
16,Burnley,40,35.59-3.41
17,Watford,40,36.25-3.75
18,Hull,34,33.84-3.16
19,Middlesbrough,28,30.93+3.93
20,Sunderland,24,34.22+5.22
1,Manchester City,100,91.43-14.57
2,Manchester United,81,59.04-8.96
3,Tottenham,77,68.91-5.09
4,Liverpool,75,77.49-6.51
5,Chelsea,70,59.16-2.84
6,Arsenal,63,72.27-1.73
7,Burnley,54,32.77-3.23
8,Everton,49,43.71-0.29
9,Leicester,47,50.29-5.71
10,Newcastle United,44,44.63+5.63
11,Crystal Palace,44,56.75+11.75
12,Bournemouth,44,39.99-5.01
13,West Ham,42,36.80-11.20
14,Watford,41,45.85+1.85
15,Brighton,40,37.21+3.21
16,Huddersfield,37,32.13+4.13
17,Southampton,36,41.88+4.88
18,Swansea,33,29.71+1.71
19,Stoke,33,36.75+1.75
20,West Bromwich Albion,31,35.18+4.18
1,Manchester City,98,93.72-1.28
2,Liverpool,97,79.46-9.54
3,Chelsea,72,63.97+0.97
4,Tottenham,71,61.75-5.25
5,Arsenal,70,64.80-8.20
6,Manchester United,66,68.62+3.62
7,Wolverhampton Wanderers,57,53.06+6.06
8,Everton,54,53.87-0.13
9,Leicester,52,52.11+1.11
10,West Ham,52,47.96-4.04
11,Watford,50,51.73-0.27
12,Crystal Palace,49,50.64-0.36
13,Newcastle United,45,39.91-2.09
14,Bournemouth,45,58.81+2.81
15,Burnley,40,44.74-0.26
16,Southampton,39,49.67+4.67
17,Brighton,36,37.03+2.03
18,Cardiff,34,41.77+7.77
19,Fulham,26,42.62+8.62
20,Huddersfield,16,29.00+7.00
1,Liverpool,99,75.19-9.81
2,Manchester City,81,102.21+0.21
3,Manchester United,66,66.19+0.19
4,Chelsea,66,76.23+7.23
5,Leicester,62,61.02-5.98
6,Tottenham,59,49.02-11.98
7,Wolverhampton Wanderers,59,54.22+3.22
8,Arsenal,56,50.82-5.18
9,Sheffield United,54,45.81+6.81
10,Burnley,54,49.35+6.35
11,Southampton,52,56.50+5.50
12,Everton,49,53.71+9.71
13,Newcastle United,44,36.49-1.51
14,Crystal Palace,43,34.45+3.45
15,Brighton,41,47.42+8.42
16,West Ham,39,49.07+0.07
17,Aston Villa,35,45.09+4.09
